OrganismName,AccessionID,BioProject
Halalkalicoccus jeotgali B3,AOHV00000000,PRJNA174946
Haloarcula amylolytica JCM 13557,AOLW00000000,PRJNA174891
Haloarcula argentinensis DSM 12282,AOLX00000000,PRJNA174892
Haloarcula californiae ATCC 33799,AOLS00000000,PRJNA174882
Haloarcula japonica DSM 6131,AOLY00000000,PRJNA174893
Haloarcula sinaiiensis ATCC 33800,AOLR00000000,PRJNA174883
Haloarcula vallismortis ATCC 29715,AOLQ00000000,PRJNA174884
Halobiforma lacisalsi AJ5,AOLZ00000000,PRJNA174894
Halobiforma nitratireducens JCM 10879,AOMA00000000,PRJNA174895
Halococcus hamelinensis 100A6,AOMB00000000,PRJNA174896
Halococcus morrhuae DSM 1307,AOMC00000000,PRJNA174897
Halococcus saccharolyticus DSM 5350,AOMD00000000,PRJNA174898
Halococcus salifodinae DSM 8989,AOME00000000,PRJNA174899
Halococcus thailandensis JCM 13552,AOMF00000000,PRJNA174900
Haloferax alexandrinus JCM 10717,AOLL00000000,PRJNA174901
Haloferax denitrificans ATCC 35960,AOLP00000000,PRJNA174885
Haloferax elongans ATCC BAA-1513,AOLK00000000,PRJNA174902
Haloferax gibbonsii ATCC 33959,AOLJ00000000,PRJNA174903
Haloferax larsenii JCM 13917,AOLI00000000,PRJNA174904
Haloferax lucentense DSM 14919,AOLH00000000,PRJNA174905
Haloferax mediterranei ATCC 33500,AOLO00000000,PRJNA174886
Haloferax mucosum ATCC BAA-1512,AOLN00000000,PRJNA174887
Haloferax prahovense DSM 18310,AOLG00000000,PRJNA174906
Haloferax sp. ATCC BAA-644,AOLF00000000,PRJNA174907
Haloferax sp. ATCC BAA-645,AOLE00000000,PRJNA174908
Haloferax sp. ATCC BAA-646,AOLD00000000,PRJNA174909
Haloferax sulfurifontis ATCC BAA-897,AOLM00000000,PRJNA174888
Haloferax volcanii DS2,AOHU00000000,PRJNA174947
Halogeometricum borinquense DSM 11551,AOHT00000000,PRJNA174948
Halorubrum aidingense JCM 13560,AOJI00000000,PRJNA174910
Halorubrum arcis JCM 13916,AOJJ00000000,PRJNA174911
Halorubrum californiensis DSM 19288,AOJK00000000,PRJNA174912
Halorubrum coriense DSM 10284,AOJL00000000,PRJNA174913
Halorubrum distributum JCM 10118,AOJN00000000,PRJNA174915
Halorubrum distributum JCM 9100,AOJM00000000,PRJNA174914
Halorubrum hochstenium ATCC 700873,AOJO00000000,PRJNA174916
Halorubrum kocurii JCM 14978,AOJH00000000,PRJNA174917
Halorubrum lipolyticum DSM 21995,AOJG00000000,PRJNA174918
Halorubrum litoreum JCM 13561,AOJF00000000,PRJNA174919
Halorubrum saccharovorum DSM 1137,AOJE00000000,PRJNA174920
Halorubrum tebenquichense DSM 14210,AOJD00000000,PRJNA174921
Halorubrum terrestre JCM 10247,AOIW00000000,PRJNA174922
Halosarcina pallida JCM 14848,AOIV00000000,PRJNA174923
Halosimplex carlsbadense 2-9-1,AOIU00000000,PRJNA174924
Haloterrigena limicola JCM 13563,AOIT00000000,PRJNA174925
Haloterrigena salina JCM 13891,AOIS00000000,PRJNA174926
Haloterrigena thermotolerans DSM 11522,AOIR00000000,PRJNA174927
Halovivax asiaticus JCM 14624,AOIQ00000000,PRJNA174928
Natrialba aegyptia DSM 13077,AOIP00000000,PRJNA174929
Natrialba asiatica DSM 12278,AOIO00000000,PRJNA174930
Natrialba chahannaoensis JCM 10990,AOIN00000000,PRJNA174931
Natrialba hulunbeirensis JCM 10989,AOIM00000000,PRJNA174932
Natrialba magadii ATCC 43099,AOHS00000000,PRJNA174949
Natrialba taiwanensis DSM 12281,AOIL00000000,PRJNA174933
Natrinema altunense JCM 12890,AOIK00000000,PRJNA174934
Natrinema gari JCM 14663,AOIJ00000000,PRJNA174935
Natrinema pallidum DSM 3751,AOII00000000,PRJNA174936
Natrinema pellirubrum DSM 15624,AOIE00000000,PRJNA174937
Natrinema versiforme JCM 10478,AOID00000000,PRJNA174938
Natronobacterium gregoryi SP2,AOIC00000000,PRJNA174939
Natronococcus amylolyticus DSM 10524,AOIB00000000,PRJNA174940
Natronococcus jeotgali DSM 18795,AOIA00000000,PRJNA174941
Natronolimnobius innermongolicus JCM 12255,AOHZ00000000,PRJNA174942
Natronorubrum bangense JCM 10635,AOHY00000000,PRJNA174943
Natronorubrum sulfidifaciens JCM 14089,AOHX00000000,PRJNA174944
Natronorubrum tibetense GA33,AOHW00000000,PRJNA174945
Halorhabdus utahensis DSM 12940,CONTROL,CONTROL
